Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,1uF,C_0603_1608Metric,141.6,-95.0,0.0,bottom
C4,100nF,C_0603_1608Metric,141.6,-96.6,0.0,bottom
C6,10uF,C_0805_2012Metric,146.0,-71.65,180.0,bottom
C7,10uF,C_0805_2012Metric,146.0,-74.05,180.0,bottom
C8,100nF,C_0603_1608Metric,149.1,-65.5,90.0,bottom
C9,47uF,C_1206_3216Metric,149.6,-73.0,90.0,bottom
C10,100nF,C_0603_1608Metric,110.5,-123.4,0.0,bottom
C11,100nF,C_0603_1608Metric,110.5,-118.4,0.0,bottom
C12,10uF,C_0603_1608Metric,110.5,-116.8,0.0,bottom
C13,100nF,C_0603_1608Metric,123.4,-122.1,180.0,bottom
C14,30pF,C_0603_1608Metric,147.8,-91.9,270.0,bottom
C15,30pF,C_0603_1608Metric,147.8,-95.5,90.0,bottom
C16,4.7uF,C_0603_1608Metric,137.6,-82.5,270.0,bottom
C17,100nF,C_0603_1608Metric,141.6,-90.5,0.0,bottom
C18,100nF,C_0603_1608Metric,141.6,-92.6,0.0,bottom
C19,100nF,C_0603_1608Metric,135.9,-104.9,90.0,bottom
C20,100nF,C_0603_1608Metric,123.9,-104.9,90.0,bottom
C21,100nF,C_0603_1608Metric,118.1,-87.4,180.0,bottom
C22,100nF,C_0603_1608Metric,136.0,-82.5,270.0,bottom
C23,100nF,C_0603_1608Metric,141.6,-98.2,0.0,bottom
C24,1uF,C_0603_1608Metric,141.6,-99.9,0.0,bottom
C25,2.2uF,C_0603_1608Metric,110.5,-121.8,0.0,bottom
C26,2.2uF,C_0603_1608Metric,110.5,-120.2,0.0,bottom
C27,100nF,C_0603_1608Metric,123.4,-120.5,0.0,bottom
C28,10uF,C_0603_1608Metric,123.4,-123.6,180.0,bottom
C29,2.2nF,C_0603_1608Metric,110.9,-131.3,0.0,bottom
C30,2.2nF,C_0603_1608Metric,123.0,-131.3,180.0,bottom
C31,100pF,C_0603_1608Metric,110.9,-137.7,180.0,bottom
C32,100pF,C_0603_1608Metric,123.0,-137.8,180.0,bottom
C35,2.2nF,C_0603_1608Metric,148.1,-114.5,180.0,bottom
C36,100nF,C_0603_1608Metric,135.8,-133.0,180.0,bottom
C38,2.2uF,C_0603_1608Metric,125.55,-104.9,270.0,bottom
C39,2.2uF,C_0603_1608Metric,118.1,-89.0,0.0,bottom
D1,1N5819,D_SOD-123,139.1,-64.48,0.0,bottom
D2,1N5819,D_SOD-123,112.8,-53.5,0.0,bottom
R1,33k,R_0603_1608Metric,146.0,-61.75,0.0,bottom
R2,10k,R_0603_1608Metric,146.0,-63.35,180.0,bottom
R3,1k,R_0603_1608Metric,110.9,-132.9,0.0,bottom
R4,1k,R_0603_1608Metric,123.0,-132.9,180.0,bottom
R5,15k,R_0603_1608Metric,110.9,-134.5,0.0,bottom
R6,15k,R_0603_1608Metric,123.0,-134.5,180.0,bottom
R7,47k,R_0603_1608Metric,110.9,-136.1,180.0,bottom
R8,47k,R_0603_1608Metric,123.0,-139.4,180.0,bottom
R9,100,R_0603_1608Metric,110.9,-139.3,0.0,bottom
R10,100,R_0603_1608Metric,123.0,-136.1,180.0,bottom
R11,75k,R_0603_1608Metric,135.7,-120.9,0.0,bottom
R12,100k,R_0603_1608Metric,135.7,-122.5,0.0,bottom
R13,47k,R_0603_1608Metric,148.1,-124.1,180.0,bottom
R14,2k2,R_0603_1608Metric,135.8,-131.4,180.0,bottom
R15,1k6,R_0603_1608Metric,121.4,-79.1,270.0,bottom
R16,75k,R_0603_1608Metric,148.0,-138.9,180.0,bottom
R17,100k,R_0603_1608Metric,148.0,-142.1,180.0,bottom
R18,75k,R_0603_1608Metric,148.1,-120.9,180.0,bottom
R19,47k,R_0603_1608Metric,148.0,-140.5,180.0,bottom
R20,100k,R_0603_1608Metric,148.1,-122.5,180.0,bottom
R21,47k,R_0603_1608Metric,135.7,-124.1,0.0,bottom
R22,75k,R_0603_1608Metric,148.0,-137.3,180.0,bottom
R23,100k,R_0603_1608Metric,148.0,-135.7,180.0,bottom
R24,47k,R_0603_1608Metric,148.0,-134.1,180.0,bottom
R25,75k,R_0603_1608Metric,135.7,-119.3,0.0,bottom
R26,100k,R_0603_1608Metric,135.7,-117.7,0.0,bottom
R27,47k,R_0603_1608Metric,135.7,-116.1,0.0,bottom
R28,1k6,R_0603_1608Metric,123.1,-79.1,270.0,bottom
R29,75k,R_0603_1608Metric,148.1,-119.3,180.0,bottom
R30,1k,R_0603_1608Metric,118.1,-95.0,0.0,bottom
R31,75k,R_0603_1608Metric,135.8,-139.1,0.0,bottom
R32,100k,R_0603_1608Metric,135.8,-142.3,180.0,bottom
R33,47k,R_0603_1608Metric,135.8,-140.7,0.0,bottom
R34,10k,R_0603_1608Metric,135.8,-134.7,0.0,bottom
R35,100k,R_0603_1608Metric,148.1,-117.7,180.0,bottom
R36,47k,R_0603_1608Metric,148.1,-116.1,180.0,bottom
R37,10k,R_0603_1608Metric,135.8,-136.3,0.0,bottom
R38,1k,R_0603_1608Metric,118.1,-93.4,0.0,bottom
R39,1k,R_0603_1608Metric,118.1,-96.6,0.0,bottom
U1,STM32H723VGTx,LQFP-100_14x14mm_P0.5mm,130.0,-94.0,270.0,bottom
U2,PCM5100APW,TSSOP-20_4.4x6.5mm_P0.65mm,117.0,-120.0,90.0,bottom
U4,LT1117-3.3,SOT-223-3_TabPin2,126.9,-69.6,0.0,bottom
U8,TL072,SOIC-8_3.9x4.9mm_P1.27mm,117.0,-135.3,90.0,bottom
Y1,8MHz 20pF,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,145.1,-93.7,90.0,bottom
